country,hdi,date_obtained
Zimbabwe,0.550,11/20/2024
Nigeria,0.548,11/20/2024
Rwanda,0.548,11/20/2024
Togo,0.547,11/20/2024
Mauritania,0.540,11/20/2024
Pakistan,0.540,11/20/2024
Côte d'Ivoire,0.534,11/20/2024
Tanzania (United Republic of),0.532,11/20/2024
Lesotho,0.521,11/20/2024
Senegal,0.517,11/20/2024
Sudan,0.516,11/20/2024
Djibouti,0.515,11/20/2024
Malawi,0.508,11/20/2024
Benin,0.504,11/20/2024
Gambia,0.495,11/20/2024
Eritrea,0.493,11/20/2024
Ethiopia,0.492,11/20/2024
Liberia,0.487,11/20/2024
Madagascar,0.487,11/20/2024
Guinea-Bissau,0.483,11/20/2024
Congo (Democratic Republic of the),0.481,11/20/2024
Guinea,0.471,11/20/2024
Afghanistan,0.462,11/20/2024
Mozambique,0.461,11/20/2024
Sierra Leone,0.458,11/20/2024
Burkina Faso,0.438,11/20/2024
Yemen,0.424,11/20/2024
Burundi,0.420,11/20/2024
Mali,0.410,11/20/2024
Chad,0.394,11/20/2024
Niger,0.394,11/20/2024
Central African Republic,0.387,11/20/2024
South Sudan,0.381,11/20/2024
Somalia,0.380,11/20/2024
